INDEX,NAME_JA,LONGITUDE,LATITUDE,NAME_EN
101,ニューヨーク,-74.006,40.714,New York
102,ロサンゼルス,-118.244,34.052,Los Angeles
103,パリ,2.333333,48.86666667,Paris
104,ロンドン,-0.083333,51.5,London
105,トロント,-79.347015,43.65107,Toronto
106,アブダビ,54.366667,24.46666667,Abu Dhabi
107,アブジャ,7.533333,9.083333333,Abuja
108,アクラ,-0.216667,5.55,Accra
109,アダムスタウン,-130.083333,-25.06666667,Adamstown
110,アディスアベバ,38.7,9.033333333,Addis Ababa
111,アルジェ,3.05,36.75,Algiers
112,アルジェ,3.05,36.75,Algiers
113,アロフィ,-169.916667,-19.01666667,Alofi
114,アンマン,35.933333,31.95,Amman
115,アムステルダム,4.916667,52.35,Amsterdam
116,アンドラ・ラ・ベリャ,1.516667,42.5,Andorra la Vella
117,アンカラ,32.866667,39.93333333,Ankara
118,アンタナナリボ,47.516667,-18.91666667,Antananarivo
119,アピア,-171.766667,-13.81666667,Apia
120,アシガバート,58.383333,37.95,Ashgabat
121,アスマラ,38.933333,15.33333333,Asmara
122,ヌルスルタン,71.416667,51.16666667,Astana
123,アスンシオン,-57.666667,-25.26666667,Asuncion
124,アタフ,-171.833333,-9.166667,Atafu
125,アテネ,23.733333,37.98333333,Athens
126,アバルア,-159.766667,-21.2,Avarua
127,バグダッド,44.4,33.33333333,Baghdad
128,バクー,49.866667,40.38333333,Baku
129,バマコ,-8,12.65,Bamako
130,バンダルスリブガワン,114.933333,4.883333333,Bandar Seri Begawan
131,バンコク,100.516667,13.75,Bangkok
132,バンギ,18.583333,4.366666667,Bangui
133,バンジュール,-16.566667,13.45,Banjul
134,バステール,-62.716667,17.3,Basseterre
135,北京,116.383333,39.91666667,Beijing
136,ベイルート,35.5,33.86666667,Beirut
137,ベオグラード,20.5,44.83333333,Belgrade
138,ベルモパン,-88.766667,17.25,Belmopan
139,ベルリン,13.4,52.51666667,Berlin
140,ベルン,7.466667,46.91666667,Bern
141,ビシュケク,74.6,42.86666667,Bishkek
142,ビサウ,-15.583333,11.85,Bissau
143,ボゴタ,-74.083333,4.6,Bogota
144,クイーンズ区,-73.837,40.681,Borough of Queens
145,ボストン,-71.057,42.3611,Boston
146,ブラジリア,-47.916667,-15.78333333,Brasilia
147,ブラチスラヴァ,17.116667,48.15,Bratislava
148,ブラザヴィル,15.283333,-4.25,Brazzaville
149,ブリッジタウン,-59.616667,13.1,Bridgetown
150,ブロンクス,-73.866,40.85,Bronx
151,ブルックリン,-73.95,40.65,Brooklyn
152,ブリュッセル,4.333333,50.83333333,Brussels
153,ブカレスト,26.1,44.43333333,Bucharest
154,ブダペスト,19.083333,47.5,Budapest
155,ブエノスアイレス,-58.666667,-34.58333333,Buenos Aires
156,ブジュンブラ,29.35,-3.366666667,Bujumbura
157,カイロ,31.25,30.05,Cairo
158,キャンベラ,149.133333,-35.26666667,Canberra
159,カラカス,-66.866667,10.48333333,Caracas
160,カストリーズ,-61,14,Castries
161,シャーロット・アマリー,-64.933333,18.35,Charlotte Amalie
162,シカゴ,-87.65,41.85,Chicago
163,キシナウ,28.85,47,Chisinau
164,コロンボ,79.833333,6.916666667,Colombo
165,コナクリ,-13.7,9.5,Conakry
166,コペンハーゲン,12.583333,55.66666667,Copenhagen
167,ダカール,-17.633333,14.73333333,Dakar
168,ダラス,-96.808,32.779,Dallas
169,ダマスカス,36.3,33.5,Damascus
170,ダルエスサラーム,39.283333,-6.8,Dar es Salaam
171,デンバー,-104.991,39.742,Denver
172,ダッカ,90.4,23.71666667,Dhaka
173,ディエゴ・ガルシア,72.4,-7.3,Diego Garcia
174,ディリ,125.6,-8.583333333,Dili
175,ジブチ,43.15,11.58333333,Djibouti
176,ドーハ,51.533333,25.28333333,Doha
177,ダグラス,-4.483333,54.15,Douglas
178,ダブリン,-6.233333,53.31666667,Dublin
179,ドゥシャンベ,68.766667,38.55,Dushanbe
180,フリータウン,-13.233333,8.483333333,Freetown
181,フナフティ,179.216667,-8.516666667,Funafuti
182,ハボローネ,25.9,-24.63333333,Gaborone
183,ジョージタウン,-81.383333,19.3,George Town
184,ジョージタウン,-58.15,6.8,Georgetown
185,ジブラルタル,-5.35,36.13333333,Gibraltar
186,グランドターク,-71.133333,21.46666667,Grand Turk
187,グアテマラシティ,-90.516667,14.61666667,Guatemala City
188,グスタビア,-62.85,17.88333333,Gustavia
189,ハガニャ,144.733333,13.46666667,Hagatna
190,ハミルトン,-64.783333,32.28333333,Hamilton
191,ハノイ,105.85,21.03333333,Hanoi
192,ハラレ,31.033333,-17.81666667,Harare
193,ハルゲイサ,44.05,9.55,Hargeisa
194,ハバナ,-82.35,23.11666667,Havana
195,ヘルシンキ,24.933333,60.16666667,Helsinki
196,ホニアラ,159.95,-9.433333333,Honiara
197,ヒューストン,-95.363,29.763,Houston
198,イスラマバード,73.05,33.68333333,Islamabad
199,ジャカルタ,106.816667,-6.166666667,Jakarta
200,ジェームズタウン,-5.716667,-15.93333333,Jamestown
201,エルサレム,35.233333,31.76666667,Jerusalem
202,エルサレム,35.233333,31.76666667,Jerusalem
203,ジュバ,31.616667,4.85,Juba
204,カブール,69.183333,34.51666667,Kabul
205,カブール,69.183333,34.51666667,Kabul
206,カンパラ,32.55,0.316666667,Kampala
207,カトマンズ,85.316667,27.71666667,Kathmandu
208,ハルツーム,32.533333,15.6,Khartoum
209,キガリ,30.05,-1.95,Kigali
210,キングエドワードポイント,-36.5,-54.283333,King Edward Point
211,キングストン,-76.8,18,Kingston
212,キングストン,167.966667,-29.05,Kingston
213,キングスタウン,-61.216667,13.13333333,Kingstown
214,キンシャサ,15.3,-4.316666667,Kinshasa
215,クアラルンプール,101.7,3.166666667,Kuala Lumpur
216,クウェートシティ,47.966667,29.36666667,Kuwait City
217,キエフ,30.516667,50.43333333,Kyiv
218,ラパス,-68.15,-16.5,La Paz
219,リーブルビル,9.45,0.383333333,Libreville
220,リロングウェ,33.783333,-13.96666667,Lilongwe
221,リマ,-77.05,-12.05,Lima
222,リスボン,-9.133333,38.71666667,Lisbon
223,リュブリャナ,14.516667,46.05,Ljubljana
