ZODIAC,NAME_JA,INFO_JA,NAME_RU,INFO_RU
Aries,牡羊座,"牡羊座で良いこと：
耕すこと、土をほぐすこと、土寄せ、鉢の土の交換。発芽の間引き、除草、衛生的な剪定、イチゴのランナーの剪定、ひこばえの除去、摘芯。害虫や病気の処理。種子採取、根菜や薬用植物を含む。すべての作物の長期保存のための収穫。花の切り取り、輸送中の保存性が良く、花束で長持ちする。干し草刈りと薪の準備。薬用植物の収穫と乾燥。乾燥、ジュースやワインの準備、焼き菓子作り。
牡羊座で良くないこと：
保存用や種子用の植物の播種と植え付け、35日以上の生育期間の植物。剪定や形作り、室内植物も含む。ピキリング、植え替え、発根。わき芽かき。水やりは避けること、最も乾燥した星座で植物が水を吸収しにくいため。追肥は植物を傷める可能性があるため避けること。",Овен,"Благоприятно в овне:
Вспашка, рыхление, окучивание, замена почвы в горшках. Прореживание всходов, прополка, обрезка санитарная, обрезка усов у земляники, удаление поросли, прищипка. Обработка от вредителей и болезней. Сбор семян на семенники, включая корнеплодные и лекарственные растения. Уборка на длительное хранение всех культур. Срезка цветов, они лучше хранятся при транспортировке и долго не вянут в букете. Сенокос и заготовка дров. Сбор лекарственных растений на сушку. Сушка, заготовка соков и вина, выпечка.
Не благоприятно в Овне:
Посев и посадка растений на хранение и на семена, растений со сроком вегетации более 35 дней. Обрезка и формирование, в том числе комнатных растений. Пикировка, пересадка, укоренение. Пасынкование. Полив, т.к. это наиболее засушливый знак и растения не усваивают воду. Подкормки, иначе можно сжечь растение."
Taurus,牡牛座,"牡牛座で良いこと：
種子の浸漬と発芽、保存用の播種と植え付け（種子用は除く）、成長が遅い植物：樹木、低木、多年草など。特にこれらの植物が丈夫で根張りが良く、冬を越せるようにしたい場合。水やり、土をほぐすこと（根の周りは避けて傷つけないように）。草刈り、枝の剪定で枝の成長を促進、接ぎ木、摘芯。薬用植物の根の収穫、肥料の施用、堆肥の仕込み、雑草取り。花の切り取り、輸送中の保存性が良く、水に長く持つため。球根の掘り出し。長期保存のための収穫。収穫物の保存用準備：缶詰、塩漬け、キャベツの漬物、乾燥、ジュースやワインの準備。
牡牛座で良くないこと：
根の周りの土ほぐし。植え替え。",Телец,"Благоприятно в тельце:
Замачивание и проращивание семян, посев и посадка на хранение, но не на семена любых растений — всё то, что растет медленно: деревья, кустарники, многолетники и т.д. Особенно, если эти растения должны быть крепкими, коренастыми и стойкими, чтобы успешно могли перезимовать. Полив, рыхление, но не в зоне корней, чтобы их не повредить. Покос трав, обрезка для усиления роста побегов, прививка, прищипка. Заготовка корней лекарственных растений, внесение удобрений, закладка компоста и прополка сорняков. Срезка цветов, т.к. они лучше хранятся при транспортировке и долго стоят в воде;
Выкопка луковичных. Уборка на долгую сохраняемость. Заготовка выращенной продукции впрок: консервирование, соление, квашение капусты, сушка, заготовка соков и вина.
Не благоприятно в тельце:
Рыхление в зоне корней. Пересадка."
Gemini,双子座,"双子座で良いこと：
メロン、つる性植物、ランナーを持つ植物（メロン、イチゴ、インゲン豆、エンドウ豆など）の播種と植え付け。垂れ下がる、這う、または匍匐する茎を持つアンペルや観賞植物の植え付けと播種。水やりなしの土ほぐし、土寄せ、発芽の間引き、除草。害虫や病気の防除の噴霧。イチゴのランナーの剪定、ひこばえの除去、形作り、衛生的な剪定、わき芽かき、摘芯、接ぎ木。ジャガイモを含む果実や根菜の長期保存のための収穫。穀物の収穫、花の収穫、薬草の収穫、種子採取用の果実の収穫、薬用植物の種子採取、球根や塊茎の掘り出し。花の切り取り、輸送中の保存性が良く、花束で長持ちする。干し草刈り。芝刈りで草の成長を遅らせる。薪の準備。球根や塊茎の掘り出し。収穫物の保存用準備：缶詰、塩漬け、キャベツの漬物、乾燥、ジュースやワインの準備。焼き菓子作り。
双子座で良くないこと：
草本植物の植え付けと植え替え。",Близнецы,"Благоприятно в близнецах:
Посев и посадка дынь, вьющихся растений, а также тех растений, которые имеют усы, таких как: дыни, земляника, фасоль и горох. Посадка и посев ампельных и декоративных растений со свисающими, стелющимися или ползучими стеблями. Рыхление без полива, окучивание, прореживание всходов, прополка. Опрыскивание от вредителей и болезней. Обрезка усов у земляники, удаление поросли, формирование, санитарная прочистка, пасынкование, прищипка и прививка. Уборка на долгое хранение плодов и корнеплодов, включая картофель. Уборка зерновых культур, заготовка цветков, сбор лекарственных трав, сбор плодов на семенники и семян лекарственных растений, выкопка луковиц и клубней. Срезание цветов, они лучше хранятся при транспортировке и долго не вянут в букете. Сенокос. Покос газонов, чтобы трава медленно отрастала. Заготовка дров. Выкопка луковиц и клубней. Заготовка выращенной продукции впрок: консервирование, соление, квашение капусты, сушка, заготовка соков и вина. Выпечка.
Не благоприятно в близнецах:
Посадка и пересадка травянистых растений."
Cancer,蟹座,"蟹座で良いこと：
種子の浸漬。ほとんどの植物の播種、植え付け、植え替え、特に一年草で高収量を目指す場合。ただし保存用や種子用は除く。観葉植物の播種と植え付け。土ほぐし、水やり、接ぎ木。鉱物性と有機性の根元への追肥。堆肥の仕込み。薬用植物の葉の収穫。長期保存用の若葉の収穫。収穫物の保存用準備：缶詰、塩漬け、キャベツの漬物、乾燥、ジュースやワインの準備。
蟹座で良くないこと：
草本、木本、塊根、つる性、アンペル植物の播種、植え付け、植え替え。農薬の使用。根菜や塊茎の収穫は避けること、水分が多くなり不快な臭いと味になるため。焼き菓子作り。樽からキャベツを取り出すことは避ける、細菌の発生リスクが高まるため。",Рак,"Благоприятно в раке:
Замачивание семян. Посев и посадка, пересадка большинства растений, особенно однолетников, на высокий урожай, но не для хранения и не на семена. Посев и посадка декоративно-лиственных растений. Рыхление, полив, прививки. Подкормки минеральная и органическая корневая. Закладка компоста. Заготовка листьев лекарственных растений. Уборка вершков на длительное хранение. Заготовка выращенной продукции впрок: консервирование, соление, квашение капусты, сушка, заготовка соков и вина.
Не благоприятно в раке:
Посев, посадка и пересадка травянистых, древесных, клубневых, вьющихся и ампельных растений. Применение ядохимикатов. Уборка корнеплодов, клубнеплодов, так как они будут слишком водянистыми и приобретут неприятный запах и вкус. Выпечка. Вынимать из бочки капусту, т.к. увеличивается опасность образования бактерий."
Leo,獅子座,"獅子座で良いこと：
すべての作物の長期保存のための収穫、ジャガイモの掘り出しを含む。球根や塊茎の掘り出し。種子、果実、根菜の種子採取、薬用植物の種子採取、薬草の収穫。獅子座でヒマワリの播種と収穫を行うと、油種子がよく保存されカビにくく、優れた品質の油が得られる。花の切り取り、輸送中の保存性が良く、花束で長持ちする。不要な枝の切り取りと樹冠の形成。収穫物の保存用準備：缶詰、塩漬け、キャベツの漬物、乾燥、ジュースやワインの準備。
獅子座で良くないこと：
水やり、追肥。樽からキャベツを取り出すことは避ける、キャベツが乾燥するため。",Лев,"Благоприятно во льве:
Уборка на длительное хранение всех культур, включая выкопку картофеля. Выкопка луковиц и клубней. Сбор семян, плодов и корнеплодов на семена, сбор семян лекарственных растений, сбор лекарственных трав. При посеве и уборке подсолнечника под этим знаком, хорошо сохраняются и не плесневеют маслосемена и получается отличное качество масла. Срезка цветов, они лучше хранятся при транспортировке и долго не вянут в букете. Срезка ненужных побегов и формирование кроны. Заготовка продукции впрок: консервирование, соление, квашение капусты, сушка, заготовка соков и вина.
Не благоприятно во льве:
Полив, подкормки. Вынимать из бочки капусту, т.к. капуста высыхает."
Virgo,乙女座,"乙女座で良いこと：
豊作を目的としない一年草の花、果実をつけない低木や低木状の観賞用樹木、つる性や匍匐性植物、イチゴの播種と植え付け。特に蟹座、蠍座、魚座で播種した植物のピキリングと植え替え。これらは植え替えの傷から早く回復する。多年草の花の分割と植え替え、取り木による繁殖。あらゆる剪定、水やり。鉱物性肥料、有機肥料の施用、必要に応じてカリ肥料の施用。薬用植物の根の収穫。
乙女座で良くないこと：
種子の浸漬。漬物のキャベツを取り出すことも望ましくない。",Дева,"Благоприятно в деве:
Посев и посадка не на обильный урожай однолетних цветов, невысоких декоративных деревьев и кустарников не предназначенные для плодоношения, вьющихся и ползучих растений, земляники. Пикировка и пересадка растений, особенно посеянных в Раке, Скорпионе и Рыбах. Они быстро оправятся от ран, полученных при пересадке. Деление и пересадка многолетних цветов, размножение отводками. Любая обрезка, полив растений. Внесение минеральных удобрений, органических удобрений, а также удобрение калием, если требуется. Заготовка корней лекарственных растений.
Не благоприятно в деве:
Замачивать семена. Нежелательно также вынимать квашеную капусту."
Libra,天秤座,"天秤座に適していること：
すべての塊茎花、低木、バラの植え付け。長期保存用および種用の播種、植え付け、茎果類（コールラビなど）、根菜類、塊根類（ジャガイモを含む）、葉物、穀物、豆類、その他の野菜および果実・ベリー類の移植。花卉、つる性植物、香辛料ハーブ、薬用植物の播種および植え付け。挿し木の発根促進、植物の追肥、水やり、土ほぐし。剪定、若返り、樹冠形成、摘芯。
種の収穫。根菜の保存収穫。薬用植物の花の収穫。輸送時の保存性を高めるための花の切り取り。この日に切った花は花束で長持ちする。生地の焼成。
天秤座に適さないこと：
接ぎ木。散布。",Весы,"Благоприятно в весах:
Посадка всех клубневых цветов, кустарников и роз. Посев, посадка на долгое хранение и на семена и пересадка растений со стеблеплодом подобных кольраби, корнеплодных и клубнеплодных, включая картофель, зеленных, зерновых, бобовых, других овощных и плодово - ягодных культур. Посев и посадка цветочных, вьющихся растений, пряных трав и лекарственных растений. Укоренение черенков, подкормка растений, полив, рыхление. Обрезка, омолаживание, формирование кроны, прищипка.
Уборка на семена. Уборка корнеплодов на хранение. Заготовка цветков лекарственных растений. Срезание цветов для лучшего хранения при транспортировке. Также цветы, срезанные в этот день, долго не вянут в букете. Выпечка теста.
Не благоприятно в весах
Прививка. Опрыскивание."
Scorpio,蠍座,"蠍座に適していること：
種の浸漬。長期保存用および種用の播種、苗の植え付け。蠍座は一年草、多年草、球根植物、野菜およびウリ科（メロン、ズッキーニ、キュウリ、パティソン、カボチャ）、根菜類（ニンジン、パセリ、ラディッシュ、ビート、セロリ）、ジャガイモ、特にナス科（ナス、ピーマン、トマト）の病気に対する耐性を与える。香辛料、花卉、薬用ハーブおよび植物の播種と植え付け、特に刺やとげ、鋭い葉や果実を持つもの、つる性植物、穀物。接ぎ木、水やり、有機および鉱物肥料の追肥。
蠍座に適さないこと：
移植、根の分割、球根および塊茎球根の繁殖は根系の腐敗の可能性があるため避ける。剪定は消毒が必要。ジャガイモの掘り取りは水っぽくなり保存時に不快な味になる。焼成。",Скорпион,"Благоприятно в скорпионе:
Замачивание семян. Посев, посадка рассадой на долгое хранение и на семена. Знак скорпиона дает устойчивость к заболеваниям однолетних, многолетних, луковичных растений, овощных и тыквенных (дыня, кабачки, огурцы, патиссон, тыква), корнеплодных (морковь, петрушка, редис, свёкла, сельдерей), картофеля, и особенно паслёновых (баклажаны, перцы, томаты). Посев и посадка пряных, цветочных, лекарственных трав и растений, особенно имеющих жало, шипы, колючки или острые листья и плоды, а также вьющихся, плетистых растений и зерновых. Прививка, полив, подкормка органическими и минеральными удобрениями.
Не благоприятно в скорпионе:
Пересадки, деление корней, размножение луковичных и клубнелуковичных, т.к. возможно загнивание корневой системы. Обрезка, иначе необходима дезинфекция ран.
Выкопка картофеля, он будет водянистым и приобретет при хранении неприятный вкус. Выпечка.
"
Sagittarius,射手座,"射手座に適していること：
種用の播種および植え付け、豊かな葉が育つが収穫は少ない。観賞用開花植物の播種および植え付け、早く開花する。上向きに伸びる長いつる性茎を持つ植物の播種および植え付け。成長の早い薬用植物の播種および植え付け。
苗木、挿し木、特に果樹・ベリー類の植え付け。耕起、土ほぐし、土寄せ、間引き、除草、わき芽かき、イチゴのランナーの剪定、わき芽や病気の植物の除去。害虫・病気の防除。根菜および球根の長期保存収穫。種の収穫、香辛料および薬用植物の収穫。保存用の球根および塊茎の掘り取り。花の切り取りは輸送時の保存性が良く、花束で長持ち。
干し草の収穫および伐採。収穫物の保存加工：缶詰、塩漬け、キャベツの漬物、乾燥、ジュースやワインの仕込み。生地の焼成。
射手座に適さないこと：
水やり、剪定、植物の手入れは機械的損傷に敏感で傷が長く治らない。",Стрелец,"Благоприятно в стрельце:
Посев и посадка растений на семена, у них будет обильная зелень, но урожай будет незначительным. Посев и посадка декоративно-цветущих растений, они зацветают быстрее. Посев и посадка растений с растущим вверх длинным вьющимся стеблем. Посев и посадка быстро-растущих лекарственных растений.
Посадка саженцев, черенков, в том числе фруктово-ягодных растений. Перекопка, рыхление, окучивание, прореживание всходов, прополка, пасынкование, обрезка усов у земляники, удаление поросли и больных растений. Обработка от вредителей и болезней. Уборка корнеплодных и луковых на долгое хранение. Уборка на семена, сбор пряных и лекарственных растений. Выкопка луковиц и клубней для хранения. Срезка цветов, они лучше хранятся при транспортировке и долго не вянут в букете.
Заготовление сена, а также лесоповал. Заготовка выращенной продукции впрок: консервирование, соление, квашение капусты, сушка, заготовка соков и вина. Выпечка теста.
Не благоприятно в стрельце:
Полив, обрезка, уход за растениями, так как они повышенно чувствительны в этот период к механическим повреждениям, раны у них будут долго не заживать."
Capricorn,山羊座,"山羊座に適していること：
種の浸漬。長期保存用および種用の播種、特にジャガイモ、根菜、球根類の植え付けおよび移植。樹木および低木、豆類、穀物の播種および植え付け。接ぎ木用の台木の植え付け。冬越しする多年草や露地越冬植物の冬季播種および植え付け。根系が弱った植物や寒い窓辺で冬越しする花の移植が可能。根および葉面追肥。剪定、摘芯、接ぎ木、挿し木の準備。干し草の収穫。病害虫防除。長期保存および種用の収穫。薬用植物の根の収穫。収穫物の保存加工：缶詰、塩漬け、キャベツの漬物、乾燥、ジュースやワインの仕込み。
山羊座に適さないこと：
植物の根の作業。",Козерог,"Благоприятно в козероге:
Замачивание семян. Посев, посадка на долгое хранение и на семена, также пересадка овощных растений, особенно картофеля, корнеплодных и луковых. Посев и посадка деревьев и кустарников, бобовых, зерновых. Посадка подвоев для дальнейшей перепрививки. Посевы и посадки подзимние и многолетних растений, зимующих в открытом грунте. Можно пересаживать растения с ослабленной корневой системой, а также те цветы, которым предстоит зимовать на холодных подоконниках. Корневая и некорневая подкормка растений. Обрезка, прищипка, прививка и заготовка черенков. Заготовление сена. Защита от болезней и вредителей. Уборка на длительное хранение и на семена. Заготовка корней лекарственных растений. Заготовка выращенной продукции впрок: консервирование, соление, квашение капусты, сушка, заготовка соков и вина.
Не благоприятно в козероге:
Работать с корнями растений."
